palabra	fuente	glosa	tipo	historia	frase	frases (max 6)
pourquoi	nueva	why (pourquoi)	adverb	la-boule-porte-bonheur	“Pourquoi cette boule?”, demande Louise, surprise.	3
poussière	nueva	dust (la poussière)	noun	clara-tient-la-boule	La poussière vole.	1
prends	nueva	take; here, pay with (prendre)	verb	tu-prends-la-carte	Tu prends la carte?	2
printemps	nueva	spring (le printemps)	noun	clara-tient-la-boule	C'est le printemps, et le soleil est chaud.	1
prochaine	nueva	next (prochain)	adjective	treize-comme-avant	“La prochaine fois, c'est moi”, sourit Hugo.	1
propre	nueva	clean (propre)	adjective	une-goutte-chaque-nuit	Le sol est propre.	1
propriétaire	nueva	owner, landlord (le propriétaire)	noun	l-annonce-du-couloir	Antoine, le propriétaire de l'immeuble, entre dans le café.	1
près	nueva	near, close (près)	adverb	vingt-minutes-c-est-long	Tout est près.	6
prêter	nueva	to lend (prêter)	verb	mille-euros-sans-compter	Ensuite, il dit: “Léa, tu peux me prêter de l'argent?	1
pétanque	nueva	pétanque, the boules game of the south of France (la pétanque)	noun	clara-tient-la-boule	Chaque dimanche, Léa joue à la pétanque, seule maintenant.	2
quai	nueva	platform (le quai)	noun	vingt-minutes-c-est-long	Le matin, le quai du métro est plein et étroit.	1
quitte	nueva	leave, leaves (quitter)	verb	mille-euros-sans-compter	Hugo quitte le café.	2
racontes	nueva	you tell, you talk about it (raconter)	verb	le-torchon-a-la-main	Tu racontes?”, dit Léa.	1
raison	nueva	reason; to be right (avoir raison)	noun	une-goutte-chaque-nuit	“Tu as raison”, répond Hugo.	2
ramasse	nueva	picks up (ramasser)	verb	a-toi-la-boule	Elle ramasse les bouchons et un lampion rouge.	4
rampe	nueva	banister, handrail (la rampe)	noun	le-fauteuil-descend	La rampe est froide sous la main.	2
rappelle	nueva	calls back (rappeler)	verb	la-ligne-coupe-apres-hugo	Hugo rappelle.	1
rates	nueva	you miss (rater)	verb	deux-carreaux-pour-hugo	“Si tu rates, tu paies les cafés”, propose Hugo.	1
regardent	nueva	they look at (regarder)	verb	vingt-minutes-c-est-long	Ils regardent le plan tous les deux.	1
rends	nueva	give back, pay back (rendre)	verb	a-toi-la-boule	Et je te rends ton argent.”	3
restes	nueva	leftovers (les restes); you stay (rester)	noun	a-toi-la-boule	Les restes du gâteau vont à la poubelle.	5
retour	nueva	return; welcome back (bon retour)	noun	a-toi-la-boule	“Et le retour?”	2
retourne	nueva	turns over; goes back (retourner)	verb	theo-ecoute-pour-lea	Léa retourne le portable et sert les cafés.	2
revanche	nueva	rematch (la revanche)	noun	treize-comme-avant	“Et la revanche?”, rit Hugo.	1
revoir	nueva	goodbye (au revoir)	expression	le-torchon-a-la-main	Au revoir, Léa.”	2
robinet	nueva	tap (le robinet)	noun	une-goutte-chaque-nuit	Une goutte tombe du robinet.	4
rond	nueva	circle (le rond)	noun	si-je-gagne-tu-restes	Hugo dessine un rond avec la craie.	1
ronde	nueva	round (rond)	adjective	la-boule-porte-bonheur	Léa garde la boule ronde dans sa main.	2
roule	nueva	rolls (rouler)	verb	trente-trois-bougies	Sa boule roule loin, exprès.	4
réparer	nueva	to repair, to fix (réparer)	verb	une-goutte-chaque-nuit	“Tu sais réparer?”, demande Léa.	2
réseau	nueva	phone signal (le réseau)	noun	la-ligne-coupe-apres-hugo	En bas, le café n'a pas de réseau.	1
réveil	nueva	alarm clock (le réveil)	noun	a-samedi-hugo	Ce matin, le réveil sonne tôt.	1
réveillé	nueva	awake (réveillé)	adjective	a-toi-la-boule	Hugo arrive, pas encore réveillé.	1
rêve	nueva	dreams (rêver)	verb	les-mots-a-l-envers	Léa rêve.	2
sac	nueva	bag (le sac)	noun	tu-prends-la-carte	Il arrive de la gare avec un grand sac.	2
sale	nueva	dirty (sale)	adjective	une-goutte-chaque-nuit	Le tuyau est sale.	2
salue	nueva	greets, says hello to (saluer)	verb	des-pas-au-dessus	Elle salue Léa avec un sourire.	1
samedi	nueva	Saturday (samedi)	noun	la-boule-porte-bonheur	Samedi, Hugo a trente-trois ans.	6
scotch	nueva	sticky tape (le scotch)	noun	la-boule-porte-bonheur	Louise emballe le paquet avec du scotch.	1
seau	nueva	bucket (le seau)	noun	une-goutte-chaque-nuit	Hugo met un seau dessous.	1
secoue	nueva	shakes (secouer)	verb	le-torchon-a-la-main	Léa secoue la tête.	1
serre	nueva	squeezes, holds tight (serrer); shakes hands (serrer la main)	verb	une-goutte-chaque-nuit	Il serre le tuyau, deux fois.	4
sert	nueva	serves (servir)	verb	theo-ecoute-pour-lea	Léa retourne le portable et sert les cafés.	3
serveur	nueva	waiter (le serveur)	noun	theo-ecoute-pour-lea	Le nouveau serveur s'appelle Théo.	1
service	nueva	favour, a thing you do to help (le service)	noun	une-goutte-chaque-nuit	Un service pour un service.”	3
serviette	nueva	napkin (la serviette)	noun	tu-prends-la-carte	Léa rit avec la serviette sur la bouche.	1
seule	nueva	alone (seul)	adjective	une-goutte-chaque-nuit	Elle est toute seule avec le silence.	5
soir	nueva	evening (le soir)	noun	les-mots-a-l-envers	Ce soir, Hugo boit un café à côté.	2
sol	nueva	floor (le sol)	noun	une-goutte-chaque-nuit	Léa sèche le sol avec une éponge.	2
sonnette	nueva	doorbell (la sonnette)	noun	le-torchon-a-la-main	Léa monte, mais il n'y a pas de sonnette.	1
souffle	nueva	blows (souffler)	verb	trente-trois-bougies	Hugo souffle et éteint les bougies.	2
sourire	nueva	smile (le sourire)	noun	des-pas-au-dessus	Elle salue Léa avec un sourire.	1
stylo	nueva	pen (le stylo)	noun	mille-euros-sans-compter	Hugo prend un stylo.	1
sucre	nueva	sugar (le sucre)	noun	tu-prends-la-carte	Il met du sucre, parce que c'est amer.	1
surpris	nueva	surprised (surpris)	adjective	tu-prends-la-carte	Maxime est surpris: le café est petit.	2
surprise	nueva	surprised (surpris)	adjective	la-boule-porte-bonheur	“Pourquoi cette boule?”, demande Louise, surprise.	1
sympa	nueva	nice, friendly (sympa)	adjective	tu-prends-la-carte	Léa ne veut pas trouver Maxime sympa.	2
sèche	nueva	dries (sécher); dry (sec)	verb	le-torchon-a-la-main	Léa sèche les tasses à l'évier avec un torchon.	4
sûre	nueva	sure (sûr)	adjective	le-fauteuil-descend	“Tu es sûre?	1
tablier	nueva	apron (le tablier)	noun	deux-carreaux-pour-hugo	Elle porte son tablier, et le mistral arrive.	1
tabouret	nueva	stool, a seat with no back (le tabouret)	noun	theo-ecoute-pour-lea	Il est sur un tabouret, à côté d'elle.	1
tasses	nueva	cups (la tasse)	noun	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	4
taxi	nueva	taxi (le taxi)	noun	a-samedi-hugo	Une femme sort d'un taxi, avec son chien.	1
tgv	nueva	TGV, the French high-speed train	noun	treize-comme-avant	Un samedi d'avril, Hugo arrive en TGV, heureux.	1
tiens	nueva	hold (tenir)	verb	clara-tient-la-boule	“Tu tiens la boule comme ça.	2
tire	nueva	shoots, in pétanque (tirer); pulls (tirer)	verb	treize-comme-avant	Hugo tire droit.	4
tirelire	nueva	piggy bank (la tirelire)	noun	la-boule-porte-bonheur	Aujourd'hui, la tirelire de Léa est vide.	3
tires	nueva	you shoot, in pétanque (tirer)	verb	trente-trois-bougies	Tu tires mal!”, dit Hugo.	1
tiroir	nueva	drawer (le tiroir)	noun	la-boule-porte-bonheur	Léa ouvre le tiroir.	3
tiède	nueva	lukewarm, only a little warm (tiède)	adjective	le-torchon-a-la-main	L'eau est tiède.	2
torchon	nueva	tea towel (le torchon)	noun	le-torchon-a-la-main	Le torchon à la main	3
tranquille	nueva	quiet, calm (tranquille)	adjective	a-toi-la-boule	La placette est tranquille, mais sale.	2
travail	nueva	work, job (le travail)	noun	vingt-minutes-c-est-long	“Mon travail est à vingt minutes”, dit Hugo.	2
triche	nueva	cheats (tricher)	verb	treize-comme-avant	Mais personne ne triche”, dit Léa.	1
triste	nueva	sad (triste)	adjective	le-torchon-a-la-main	Elle ne veut pas écouter, parce que c'est triste.	6
trouver	nueva	to find; to think someone is (trouver)	verb	tu-prends-la-carte	Léa ne veut pas trouver Maxime sympa.	1
tuyau	nueva	pipe (le tuyau)	noun	une-goutte-chaque-nuit	Le tuyau est sale.	2
vends	nueva	sell (vendre)	verb	l-annonce-du-couloir	Et si je vends ma vieille machine?”	1
verse	nueva	pours (verser)	verb	une-plante-pour-lea	Léa verse l'eau doucement.	1
vident	nueva	they empty (vider)	verb	une-plante-pour-lea	Hugo et Léa vident la cuisine ensemble.	1
vieil	nueva	old (vieux, before a vowel)	adjective	treize-comme-avant	Il rêve sur un vieil oreiller.	1
vient	nueva	comes (venir)	verb	tu-prends-la-carte	Il vient de Paris.	3
vitrine	nueva	shop window (la vitrine)	noun	le-torchon-a-la-main	La vitrine est noire.	1
vivante	nueva	alive (vivant)	adjective	une-plante-pour-lea	“Elle est vivante, tu vois?	1
vocal	nueva	voice, spoken (message vocal: voice message)	adjective	theo-ecoute-pour-lea	Un message vocal arrive sur son portable.	1
voir	nueva	to see (voir)	verb	une-goutte-chaque-nuit	“Mais je commence à voir.”	2
vois	nueva	you see (voir)	verb	une-plante-pour-lea	“Elle est vivante, tu vois?	1
vole	nueva	flies (voler)	verb	clara-tient-la-boule	La poussière vole.	1
volets	nueva	shutters (le volet)	noun	l-annonce-du-couloir	En haut, les volets sont fermés.	2
vont	nueva	go (aller)	verb	a-toi-la-boule	Les restes du gâteau vont à la poubelle.	3
voyage	nueva	trip; have a good trip (bon voyage)	noun	a-samedi-hugo	“Bon voyage, Hugo”, dit Léa.	1
vraiment	nueva	really (vraiment)	adverb	theo-ecoute-pour-lea	“Il part vraiment en mars.”	3
vue	nueva	view (la vue)	noun	le-torchon-a-la-main	“La vue est belle.	1
vélo	nueva	bike (le vélo)	noun	vingt-minutes-c-est-long	J'achète un vélo neuf.	1
yeux	nueva	eyes (l'œil)	noun	la-ligne-coupe-apres-hugo	Léa ferme les yeux et retient ses larmes.	1
écharpe	nueva	scarf (l'écharpe)	noun	a-samedi-hugo	Léa sait: c'est l'inconnue de l'écharpe.	3
écouter	nueva	to listen (écouter)	verb	theo-ecoute-pour-lea	Tu peux écouter pour moi?”, demande Léa.	2
écouteurs	nueva	earphones (les écouteurs)	noun	theo-ecoute-pour-lea	Il met les écouteurs dans ses oreilles.	1
égalité	nueva	tie, the same score (l'égalité)	noun	treize-comme-avant	Douze à douze: c'est l'égalité.	1
élève	nueva	pupil, student (l'élève)	noun	clara-tient-la-boule	Clara est une bonne élève.	1
éponge	nueva	sponge (l'éponge)	noun	une-goutte-chaque-nuit	Léa sèche le sol avec une éponge.	1
étagère	nueva	shelf (l'étagère)	noun	le-torchon-a-la-main	Elle les pose sur l'étagère.	1
éteint	nueva	blows out (éteindre); switched off (éteint)	verb	trente-trois-bougies	Hugo souffle et éteint les bougies.	2
étoile	nueva	star (l'étoile)	noun	les-mots-a-l-envers	Sous la lune, il y a une étoile.	1
étroit	nueva	narrow (étroit)	adjective	vingt-minutes-c-est-long	Le matin, le quai du métro est plein et étroit.	2
évier	nueva	sink (l'évier)	noun	le-torchon-a-la-main	Léa sèche les tasses à l'évier avec un torchon.	1
être	nueva	to be (être)	verb	des-pas-au-dessus	Léa ne peut pas être méchante.	1
appelle	copia corregida	is called, is named (s'appeler); calls (appeler)	verb	theo-ecoute-pour-lea	Le nouveau serveur s'appelle Théo.	3
assez	copia corregida	enough (assez)	adverb	mille-euros-sans-compter	Hugo n'a pas assez d'argent.	2
bleue	copia corregida	blue (bleu); bank card (carte bleue)	adjective	tu-prends-la-carte	La carte bleue, pour payer!”	3
bon	copia corregida	well, OK; good (bon)	adjective	le-torchon-a-la-main	“Bon.	3
cafés	copia corregida	coffees (le café)	noun	theo-ecoute-pour-lea	Léa retourne le portable et sert les cafés.	3
carte	copia corregida	card, bank card; menu (la carte)	noun	tu-prends-la-carte	Tu prends la carte?	6
court	copia corregida	runs (courir)	verb	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	2
dois	copia corregida	must, have to (devoir)	verb	la-ligne-coupe-apres-hugo	Je dois commencer en mars”, dit Hugo.	2
dort	copia corregida	sleeps (dormir)	verb	a-toi-la-boule	Un gros chat dort sur le banc, sous les feuilles.	2
entend	copia corregida	hears (entendre)	verb	vingt-minutes-c-est-long	Dehors, on entend le bateau du port.	5
haut	copia corregida	high, up; upstairs (en haut)	adverb	l-annonce-du-couloir	L'appartement en haut est déjà presque vide.	3
joue	copia corregida	plays (jouer); cheek (la joue)	verb	si-je-gagne-tu-restes	Léa espère, mais ce soir, il joue bien.	6
joues	copia corregida	you play (jouer)	verb	a-toi-la-boule	“Tu joues à Paris?”, demande Léa.	1
juste	copia corregida	just, only (juste)	adverb	mille-euros-sans-compter	C'est juste assez.	2
laisse	copia corregida	lets, leaves (laisser); lead for a dog (la laisse)	verb	trente-trois-bougies	Léa laisse gagner Hugo.	3
libre	copia corregida	free, available (libre)	adjective	le-fauteuil-descend	Je suis libre”, dit Chloé.	2
maison	copia corregida	home, house; at home (à la maison)	noun	le-torchon-a-la-main	Il monte là-haut, à la maison.	2
montre	copia corregida	shows (montrer); watch (la montre)	verb	le-torchon-a-la-main	“Léa, je te montre l'appartement!	3
neuf	copia corregida	new, brand new (neuf)	adjective	vingt-minutes-c-est-long	J'achète un vélo neuf.	2
noire	copia corregida	black, dark (noir)	adjective	le-torchon-a-la-main	La vitrine est noire.	1
oublie	copia corregida	forget, forgets (oublier)	verb	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	3
ouvre	copia corregida	opens (ouvrir)	verb	une-goutte-chaque-nuit	Elle ouvre le robinet, puis elle le ferme.	4
peux	copia corregida	can (pouvoir)	verb	theo-ecoute-pour-lea	Tu peux écouter pour moi?”, demande Léa.	5
place	copia corregida	place, spot (la place)	noun	deux-carreaux-pour-hugo	Sa boule reste à sa place: c'est un carreau.	2
porte	copia corregida	brings, wears (porter); door (la porte)	verb	la-boule-porte-bonheur	Cette boule porte chance.	3
rate	copia corregida	misses (rater)	verb	clara-tient-la-boule	Sa boule roule loin, et elle rate le cochonnet.	3
retient	copia corregida	holds back (retenir)	verb	a-samedi-hugo	Elle retient ses larmes.	2
répond	copia corregida	answers (répondre)	verb	theo-ecoute-pour-lea	“Hugo a un appartement à Paris”, répond Théo.	6
sais	copia corregida	know (savoir)	verb	une-goutte-chaque-nuit	“Tu sais réparer?”, demande Léa.	4
sens	copia corregida	meaning (le sens)	noun	les-mots-a-l-envers	Léa ne comprend pas le sens.	1
tape	copia corregida	hits, knocks (taper)	verb	deux-carreaux-pour-hugo	La boule de Hugo tape l'autre boule.	1
tapis	copia corregida	rug (le tapis)	noun	le-fauteuil-descend	Le tapis est à côté.	1
terre	copia corregida	soil, earth (la terre)	noun	une-plante-pour-lea	La terre est sèche.	2
tirer	copia corregida	to shoot, in pétanque: to throw at a boule (tirer)	verb	clara-tient-la-boule	Clara veut tirer.	2
tourne	copia corregida	turns (tourner)	verb	une-goutte-chaque-nuit	Hugo tourne, et l'eau coule partout.	3
trouve	copia corregida	finds, thinks (trouver)	verb	clara-tient-la-boule	Clara trouve la placette jolie.	1
va	copia corregida	goes (aller); how are you? (ça va?)	verb	vingt-minutes-c-est-long	“Et le métro va vite?”	3
voisine	copia corregida	neighbour (la voisine)	noun	le-fauteuil-descend	Chloé, une nouvelle voisine, a une petite camionnette.	2
a	copia de french-traveler	has (avoir); there is (il y a)	verb	theo-ecoute-pour-lea	Il y a du bruit dans le café.	6
air	copia de french-expat-lyon	air (l'air)	noun	a-toi-la-boule	L'air du matin est froid.	2
allume	copia de french-expat-lyon	to switch on a light or a machine (allumer)	verb	trente-trois-bougies	Sous chaque platane, Léa allume un lampion.	2
alors	copia de french-expat-lyon	so, then (alors)	adverb	tu-prends-la-carte	“Alors, c'est gratuit?”	4
ans	copia de french-expat-lyon	years (l'an)	noun	la-boule-porte-bonheur	Samedi, Hugo a trente-trois ans.	2
appartement	copia de french-expat-lyon	flat, apartment (l'appartement)	noun	theo-ecoute-pour-lea	“Hugo a un appartement à Paris”, répond Théo.	6
applaudit	copia de french-traveler	claps, applauds (applaudir)	verb	trente-trois-bougies	Léa applaudit vraiment fort, et regarde le banc.	1
apporte	copia de french-traveler	brings (apporter)	verb	tu-prends-la-carte	Elle apporte un jus d'orange: gratuit, pour un ami de Hugo.	2
après	copia de french-traveler	after	preposition	clara-tient-la-boule	Après, Léa sert deux cafés.	3
arrive	copia de french-traveler	arrives (arriver)	verb	theo-ecoute-pour-lea	Un message vocal arrive sur son portable.	6
arrêt	copia de french-expat-lyon	stop for a tram or bus (l'arrêt)	noun	vingt-minutes-c-est-long	L'arrêt du bus est en bas.	1
as	copia de french-expat-lyon	you have (avoir)	verb	une-goutte-chaque-nuit	“Tu as raison”, répond Hugo.	1
attend	copia de french-traveler	waits (attendre)	verb	theo-ecoute-pour-lea	Léa attend.	4
attendent	copia de french-expat-lyon	they wait (attendre)	verb	une-boule-sous-le-platane	Les boules attendent sur le banc, sous le platane.	1
aussi	copia de french-expat-lyon	also (aussi)	adverb	les-mots-a-l-envers	“Moi aussi, je pense à toi.”	2
autre	copia de french-traveler	other, different	adjective	une-goutte-chaque-nuit	Puis une autre goutte.	3
avant	copia de french-expat-lyon	before (avant)	preposition	mille-euros-sans-compter	“Le loyer commence avant mon départ.”	6
avec	copia de french-traveler	with	preposition	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	6
avril	copia de french-expat-lyon	April (avril)	noun	treize-comme-avant	Un samedi d'avril, Hugo arrive en TGV, heureux.	1
baguette	copia de french-expat-lyon	long thin French bread (la baguette)	noun	treize-comme-avant	Le café sent la baguette.	1
beau	copia de french-expat-lyon	beautiful (beau)	adjective	des-pas-au-dessus	“Il est beau, ce chien”, dit Léa.	1
beaucoup	copia de french-expat-lyon	lot, very much (beaucoup)	adverb	tu-prends-la-carte	“Merci beaucoup.	6
belle	copia de french-traveler	beautiful (beau)	adjective	le-torchon-a-la-main	“La vue est belle.	1
bien	copia de french-traveler	well, good	adverb	theo-ecoute-pour-lea	“Bien sûr”, sourit Théo.	2
boit	copia de french-traveler	drinks (boire)	verb	les-mots-a-l-envers	Ce soir, Hugo boit un café à côté.	2
boîte	copia de french-expat-lyon	small box that holds things (la boîte)	noun	une-goutte-chaque-nuit	Cet après-midi, Hugo arrive avec une boîte à outils.	2
bravo	copia de french-traveler	bravo, well done	expression	une-goutte-chaque-nuit	“Bravo, Hugo!	3
bruit	copia de french-expat-lyon	sound you can hear, often a loud one (le bruit)	noun	theo-ecoute-pour-lea	Il y a du bruit dans le café.	3
café	copia de french-traveler	café; coffee (le café)	noun	theo-ecoute-pour-lea	Il y a du bruit dans le café.	6
cet	copia de french-expat-lyon	this (cet)	determiner	une-goutte-chaque-nuit	Cet après-midi, Hugo arrive avec une boîte à outils.	1
chaque	copia de french-expat-lyon	each, every (chaque)	determiner	une-goutte-chaque-nuit	Une goutte chaque nuit	6
chaud	copia de french-traveler	hot, warm	adjective	tu-prends-la-carte	“Attention, c'est chaud!”	3
cher	copia de french-expat-lyon	expensive (cher); dear (cher)	adjective	le-torchon-a-la-main	Il est petit, et je paie cher.”	3
chez	copia de french-expat-lyon	at the home of (chez)	preposition	a-toi-la-boule	À la fin, il rentre chez lui.	2
ciel	copia de french-traveler	sky (le ciel)	noun	si-je-gagne-tu-restes	Le ciel est rouge au-dessus du Panier.	1
coin	copia de french-expat-lyon	place where two walls meet (le coin)	noun	le-fauteuil-descend	Le fauteuil prend le coin de Léa.	1
combien	copia de french-expat-lyon	how many (combien)	adverb	tu-prends-la-carte	C'est combien?”	2
comme	copia de french-traveler	like, as	conjunction	le-torchon-a-la-main	“Comme ça, maintenant?”	6
commence	copia de french-expat-lyon	starts (commencer)	verb	theo-ecoute-pour-lea	Il commence aujourd'hui.	3
comprend	copia de french-expat-lyon	understands (comprendre)	verb	theo-ecoute-pour-lea	Léa comprend.	6
compte	copia de french-expat-lyon	to say numbers one after the other (compter)	verb	la-boule-porte-bonheur	Je compte, et je compte encore.”	3
comptoir	copia de french-expat-lyon	long high table in a shop (le comptoir)	noun	la-boule-porte-bonheur	Léa cache le paquet sous le comptoir.	2
corrige	copia de french-expat-lyon	to say the right thing after a mistake (corriger)	verb	clara-tient-la-boule	Elle corrige la main de Clara, comme Hugo.	1
couloir	copia de french-expat-lyon	corridor (le couloir)	noun	l-annonce-du-couloir	L'annonce du couloir	2
coupe	copia de french-expat-lyon	to cut something into two parts (couper)	verb	la-boule-porte-bonheur	Louise coupe le papier avec les ciseaux.	2
coûte	copia de french-expat-lyon	to have a price of (coûter)	verb	vingt-minutes-c-est-long	Le loyer coûte mille euros par mois.	2
crie	copia de french-traveler	shouts (crier)	verb	theo-ecoute-pour-lea	Je n'entends rien”, crie Léa.	2
cuisine	copia de french-expat-lyon	room where you cook your food (la cuisine)	noun	une-plante-pour-lea	Hugo et Léa vident la cuisine ensemble.	1
d	copia de french-traveler	of, from (d', from de before a vowel)	preposition	tu-prends-la-carte	“D'où tu viens?”, demande Léa.	2
dans	copia de french-traveler	in, inside	preposition	theo-ecoute-pour-lea	Il y a du bruit dans le café.	6
danse	copia de french-traveler	dances (danser)	verb	trente-trois-bougies	Tout le monde chante, danse et fête Hugo.	1
de	copia de french-traveler	of, from	preposition	theo-ecoute-pour-lea	Léa écoute, mais il y a trop de bruit.	6
dedans	copia de french-expat-lyon	inside, in the middle part of something (dedans)	adverb	la-boule-porte-bonheur	Dedans, il y a sa boule porte-bonheur.	1
dehors	copia de french-expat-lyon	outside, not inside a building (dehors)	adverb	vingt-minutes-c-est-long	Dehors, on entend le bateau du port.	2
demain	copia de french-traveler	tomorrow	adverb	l-annonce-du-couloir	Demain, je choisis un locataire.”	2
demande	copia de french-traveler	asks (demander)	verb	theo-ecoute-pour-lea	Tu peux écouter pour moi?”, demande Léa.	6
dernier	copia de french-traveler	last, final	adjective	une-plante-pour-lea	Hugo peint le dernier mur en blanc.	1
dernière	copia de french-expat-lyon	one just before this one (dernier)	adjective	trente-trois-bougies	À la fin, il y a une dernière partie.	4
descend	copia de french-expat-lyon	goes down (descendre)	verb	a-samedi-hugo	Hugo descend avec une valise lourde.	5
difficile	copia de french-expat-lyon	hard to do or to understand (difficile)	adjective	theo-ecoute-pour-lea	“C'est difficile ici.	3
dire	copia de french-expat-lyon	to say (dire)	verb	tu-prends-la-carte	Ça veut dire ça!”	3
dit	copia de french-traveler	says (dire)	verb	theo-ecoute-pour-lea	J'oublie toujours où sont les tasses”, dit Théo.	6
donne	copia de french-expat-lyon	to put something into somebody's hands (donner)	verb	theo-ecoute-pour-lea	Léa donne son portable à Théo.	5
douce	copia de french-traveler	soft, gentle (doux)	adjective	les-mots-a-l-envers	Dehors, la lune est douce.	2
doucement	copia de french-expat-lyon	slowly and without noise (doucement)	adverb	a-toi-la-boule	Il déchire doucement le papier.	5
déjà	copia de french-expat-lyon	already (déjà)	adverb	les-mots-a-l-envers	Déjà.”	3
eau	copia de french-traveler	water (l'eau)	noun	le-torchon-a-la-main	L'eau est tiède.	6
elle	copia de french-traveler	she; it (feminine)	pronoun	theo-ecoute-pour-lea	Il est sur un tabouret, à côté d'elle.	6
elles	copia de french-expat-lyon	they, women (elles)	pronoun	le-fauteuil-descend	Elles portent le fauteuil lentement, ensemble.	1
en	copia de french-expat-lyon	in; of it (en)	preposition	theo-ecoute-pour-lea	“Il part vraiment en mars.”	6
encore	copia de french-traveler	again; still	adverb	les-mots-a-l-envers	Elle écrit encore, toute seule: amis pour toujours.	6
enfin	copia de french-expat-lyon	after a long wait, at last (enfin)	adverb	les-mots-a-l-envers	“Enfin!”, rit Hugo.	2
ensemble	copia de french-expat-lyon	with each other, not alone (ensemble)	adverb	le-fauteuil-descend	Elles portent le fauteuil lentement, ensemble.	2
entre	copia de french-traveler	enters (entrer); between	verb	theo-ecoute-pour-lea	Il court entre les tables avec son plateau.	4
escalier	copia de french-expat-lyon	steps you climb to go up (l'escalier)	noun	le-fauteuil-descend	Mais l'escalier est étroit.	2
est	copia de french-traveler	is (être)	verb	theo-ecoute-pour-lea	Le café est plein, et Léa est occupée.	6
et	copia de french-traveler	and	conjunction	theo-ecoute-pour-lea	Le café est plein, et Léa est occupée.	6
euros	copia de french-expat-lyon	money used in France (l'euro)	noun	vingt-minutes-c-est-long	Le loyer coûte mille euros par mois.	6
explique	copia de french-expat-lyon	to say something so others understand (expliquer)	verb	le-torchon-a-la-main	Le métro est en bas”, explique Hugo.	6
exprès	copia de french-expat-lyon	on purpose, because you want to (exprès)	adverb	trente-trois-bougies	Sa boule roule loin, exprès.	2
fenêtre	copia de french-expat-lyon	glass opening that lets light into a room (la fenêtre)	noun	une-plante-pour-lea	À la fenêtre, il y a une plante verte.	1
ferme	copia de french-expat-lyon	closes (fermer)	verb	une-goutte-chaque-nuit	Elle ouvre le robinet, puis elle le ferme.	3
fin	copia de french-expat-lyon	end (la fin)	noun	trente-trois-bougies	À la fin, il y a une dernière partie.	2
fini	copia de french-expat-lyon	finished (finir)	verb	une-goutte-chaque-nuit	Fini”, dit Hugo.	2
fort	copia de french-expat-lyon	loudly, with a lot of noise (fort)	adverb	trente-trois-bougies	Léa applaudit vraiment fort, et regarde le banc.	3
frappe	copia de french-expat-lyon	knocks (frapper)	verb	le-torchon-a-la-main	Elle frappe, le torchon à la main.	1
froide	copia de french-traveler	cold (froid)	adjective	une-boule-sous-le-platane	Léa prend sa boule ronde et froide.	2
garde	copia de french-expat-lyon	to keep something for somebody (garder)	verb	la-boule-porte-bonheur	Léa garde la boule ronde dans sa main.	2
grand	copia de french-expat-lyon	big (grand)	adjective	le-torchon-a-la-main	Sans lui, le café est grand et vide.	2
hui	copia de french-traveler	today (aujourd'hui)	adverb	theo-ecoute-pour-lea	Il commence aujourd'hui.	4
ici	copia de french-traveler	here	adverb	theo-ecoute-pour-lea	Il est à Paris, loin d'ici.	6
il	copia de french-traveler	he; there is (it; il y a)	pronoun	theo-ecoute-pour-lea	Il y a du bruit dans le café.	6
ils	copia de french-traveler	they (masculine or mixed)	pronoun	vingt-minutes-c-est-long	Ils regardent le plan tous les deux.	3
immeuble	copia de french-expat-lyon	block of flats (l'immeuble)	noun	l-annonce-du-couloir	Antoine, le propriétaire de l'immeuble, entre dans le café.	1
invite	copia de french-expat-lyon	to ask somebody to come to your home (inviter)	verb	trente-trois-bougies	Pour l'anniversaire de Hugo, Léa invite les amis.	1
jamais	copia de french-expat-lyon	never (jamais)	adverb	si-je-gagne-tu-restes	Il ne dit jamais non à Léa.	2
jaune	copia de french-expat-lyon	colour of the sun (jaune)	adjective	a-samedi-hugo	Clara est une nouvelle locataire, en manteau jaune.	3
je	copia de french-traveler	I	pronoun	theo-ecoute-pour-lea	Je n'entends rien”, crie Léa.	6
jeune	copia de french-expat-lyon	young, not old at all (jeune)	adjective	une-boule-sous-le-platane	Léa est une jeune femme de Marseille.	1
jusqu	copia de french-expat-lyon	until (jusqu'à)	preposition	le-fauteuil-descend	Un café tous les jours, jusqu'en mars”, répond Chloé.	1
loin	copia de french-expat-lyon	far (loin)	adverb	theo-ecoute-pour-lea	Il est à Paris, loin d'ici.	6
lourd	copia de french-expat-lyon	heavy (lourd)	adjective	le-fauteuil-descend	Le fauteuil de Hugo, là-haut, est large et lourd.	1
lourde	copia de french-expat-lyon	heavy, female (lourd)	adjective	a-samedi-hugo	Hugo descend avec une valise lourde.	2
lui	copia de french-expat-lyon	to him, to her (lui)	pronoun	le-torchon-a-la-main	Sans lui, le café est grand et vide.	4
lundi	copia de french-expat-lyon	first working day of the week (le lundi)	noun	l-annonce-du-couloir	D'habitude, il vient le lundi, tard.	1
là	copia de french-traveler	there; still there	adverb	les-mots-a-l-envers	“Mais je suis là!”	2
